trait_id,segment,character,state_options,description
T20e,carpus,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T20f,propodus,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T20g,dactyl,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T21,coxa_1,shape,"setose anterior lobe, setose ventral lobe, setose posterior lobe, overlapping, separated, bilobed, excavate posteriorly, anterodistally expanded",
T22,coxa_2,shape,"setose anterior lobe, setose ventral lobe, setose posterior lobe, overlapping, separated, bilobed, excavate posteriorly, anterodistally expanded",
T23,coxa_3,shape,"setose anterior lobe, setose ventral lobe, setose posterior lobe, overlapping, separated, bilobed, excavate posteriorly, anterodistally expanded",
T24,coxa_4,shape,"setose anterior lobe, setose ventral lobe, setose posterior lobe, overlapping, separated, bilobed, excavate posteriorly, anterodistally expanded",
T25,coxa_5,shape,"setose anterior lobe, setose ventral lobe, setose posterior lobe, overlapping, separated, bilobed, excavate posteriorly, anterodistally expanded",
T26,coxa_6,shape,"setose anterior lobe, setose ventral lobe, setose posterior lobe, overlapping, separated, bilobed, excavate posteriorly, anterodistally expanded",
T27,coxa_7,shape,"setose anterior lobe, setose ventral lobe, setose posterior lobe, overlapping, separated, bilobed, excavate posteriorly, anterodistally expanded",
T28,pleon_1,shape,"mucronate, posteriorly recurved overhanging urosome, setose and hirsute, carinate",
T29,pleon_2,shape,"mucronate, posteriorly recurved overhanging urosome, setose and hirsute, carinate",
T30,pleon_3,shape,"mucronate, posteriorly recurved overhanging urosome, setose and hirsute, carinate",
T31,epimera_1,shape,"hind corners, tootheed produced, mucronate, subquadrate",
T32,epimera_2,shape,"hind corners, tootheed produced, mucronate, subquadrate",
T33,epimera_3,shape,"hind corners, tootheed produced, mucronate, subquadrate",
T34,pleopod_1,shape,"without constriction, simple and normal, rami proximally expanded, peduncle broad, peduncle expanded medially",
T35,pleopod_2,shape,"simple and normal, rami proximally expanded, peduncle broad, peduncle expanded medially",
T36,pleopod_3,shape,"simple and normal, rami proximally expanded, peduncle broad, peduncle expanded medially",
T37,urosome_1,shape,"short, long, medium long, spinose, toothed, bicarinate, posteriorly carinate, segments fused, with hook, without hook, peduncle short, peduncle long, peduncle long as ramus, inner ramus short, outer ramus short",
T38,urosome_2,shape,"short, long, medium long, spinose, toothed, bicarinate, posteriorly carinate, segments fused, with hook, without hook",
T39,urosome_3,shape,"short, long, medium long, spinose, toothed, bicarinate, posteriorly carinate, segments fused, with hook, without hook",
T40,uropod_1,shape,"subequal rami, rami falciform, rami lanceolate, outer ramus with hook spines, rami foliaceous, uniramous and uninate, uniramous and spatulate, uniramous and styliform, uniramous and peduncle medially lobate",
T41,uropod_2,shape,"subequal rami, rami falciform, rami lanceolate, outer ramus with hook spines, rami foliaceous, uniramous and uninate, uniramous and spatulate, uniramous and styliform, uniramous and peduncle medially lobate",
T42,uropod_3,shape,"subequal rami, rami falciform, rami lanceolate, outer ramus with hook spines, rami foliaceous, uniramous and uninate, uniramous and spatulate, uniramous and styliform, uniramous and peduncle medially lobate",
T43,telson,shape,"with hook, cleft to base, deeply cleft, broad and notched, entire and acute, entire and linguiform, dorsally uncinate",
